url,region,job_name,district
https://kenai.craigslist.org//search/eng,kenai,internet engineers,
https://kenai.craigslist.org//search/lgl,kenai,legal  /  paralegal,
https://kenai.craigslist.org//search/mnu,kenai,manufacturing,
https://kenai.craigslist.org//search/mar,kenai,marketing / pr / ad,
https://kenai.craigslist.org//search/hea,kenai,medical / health,
https://kenai.craigslist.org//search/npo,kenai,nonprofit sector,
https://kenai.craigslist.org//search/rej,kenai,real estate,
https://kenai.craigslist.org//search/ret,kenai,retail / wholesale,
https://kenai.craigslist.org//search/sls,kenai,sales / biz dev,
https://kenai.craigslist.org//search/spa,kenai,salon / spa / fitness,
https://kenai.craigslist.org//search/sec,kenai,security,
https://kenai.craigslist.org//search/trd,kenai,skilled trade / craft,
https://kenai.craigslist.org//search/sof,kenai,software / qa / dba,
https://kenai.craigslist.org//search/sad,kenai,systems / network,
https://kenai.craigslist.org//search/tch,kenai,technical support,
https://kenai.craigslist.org//search/trp,kenai,transport,
https://kenai.craigslist.org//search/tfr,kenai,tv / film / video,
https://kenai.craigslist.org//search/web,kenai,web / info design,
https://kenai.craigslist.org//search/wri,kenai,writing / editing,
https://kenai.craigslist.org//search/etc,kenai,[ETC],
https://kenai.craigslist.org//search/jjj?employment_type=2,kenai,[ part-time ],
https://phoenix.craigslist.org//search/acc,phoenix,accounting+finance,
https://phoenix.craigslist.org//search/ofc,phoenix,admin / office,
https://phoenix.craigslist.org//search/egr,phoenix,arch / engineering,
https://phoenix.craigslist.org//search/med,phoenix,art / media / design,
https://phoenix.craigslist.org//search/sci,phoenix,biotech / science,
https://phoenix.craigslist.org//search/bus,phoenix,business / mgmt,
https://phoenix.craigslist.org//search/csr,phoenix,customer service,
https://phoenix.craigslist.org//search/edu,phoenix,education,
